0.2 6878.1000 0.0000
0.4 7199.1855 0.8428
0.6 7943.1911 1.5768
0.8 8678.5726 2.1609
1.0 9187.2928 2.6588
1.2 9377.6219 3.1179
1.4 9223.2648 -2.7084
1.6 8747.3560 -2.2183
1.8 8038.6044 -1.6540
2.0 7299.8259 -0.9685
2.2 6887.2743 -0.1415
2.4 7123.7011 0.7357
2.6 7840.8137 1.4919
2.8 8593.5726 2.0917
3.0 9138.4442 2.5977
3.2 9372.3754 3.0596
3.4 9262.2158 -2.7684
3.6 8824.5057 -2.2847
3.8 8137.4265 -1.7326
4.0 7385.5823 -1.0650
4.2 6907.7298 -0.2544
4.4 7056.6890 0.6264
4.6 7738.5825 1.4043
4.8 8504.9600 2.0209
5.0 9084.3400 2.5358
5.2 9361.3503 3.0012
5.4 9295.6472 -2.8279
5.6 8897.3726 -2.3500
5.8 8234.9382 -1.8092
6.0 7475.7656 -1.1591
6.2 6939.3232 -0.3659
6.4 6999.1837 0.5152
6.6 7637.3009 1.3138
6.8 8413.0639 1.9485
7.0 9025.1156 2.4732
7.2 9344.5684 2.9425
7.4 9323.4801 -2.8870
7.6 8965.7216 -2.4142
7.8 8330.6184 -1.8840
8.0 7569.4770 -1.2506
8.2 6981.4119 -0.4757
8.4 6952.1057 0.4024
8.6 7537.8744 1.2203
8.8 8318.2472 1.8743
9.0 8960.9255 2.4096
9.2 9322.0642 2.8837
9.4 9345.6499 -2.9458
9.6 9029.3439 -2.4775
9.8 8423.9922 -1.9571
10.0 7665.8578 -1.3397
10.2 7033.2333 -0.5835
10.4 6916.1907 0.2885
10.6 7441.3142 1.1239
10.8 8220.9096 1.7982
11.0 8891.9454 2.3450
11.2 9293.8851 2.8245
11.4 9362.1062 -3.0044
11.6 9088.0542 -2.5399
11.8 8514.6279 -2.0286
12.0 7764.0955 -1.4264
12.2 7093.9369 -0.6892
12.4 6891.9602 0.1739
12.6 7348.7254 1.0245
12.8 8121.4943 1.7200
13.0 8818.3739 2.2794
13.2 9260.0916 2.7649
13.4 9372.8116 -3.0628
13.6 9141.6894 -2.6016
13.8 8602.1345 -2.0986
14.0 7863.4272 -1.5109
14.2 7162.6127 -0.7926
14.4 6879.7078 0.0592
14.6 7261.2845 0.9222
14.8 8020.4964 1.6395
15.0 8740.4339 2.2125
15.2 9220.7582 2.7048
15.4 9377.7415 -3.1211
15.6 9190.1062 -2.6626
15.8 8686.1588 -2.1672
16.0 7963.1420 -1.5931
16.2 7238.3179 -0.8936
16.4 6879.4963 -0.0552
16.6 7180.2040 0.8171
16.8 7918.4739 1.5565
17.0 8658.3748 2.1443
17.2 9175.9739 2.6441
17.4 9376.8841 3.1038
17.6 9233.1806 -2.7229
17.8 8766.3826 -2.2345
18.0 8062.5809 -1.6732
18.2 7320.0988 -0.9920
18.4 6891.1687 -0.1689
18.6 7106.6877 0.7095
18.8 7816.0612 1.4710
19.0 8572.4733 2.0747
19.2 9125.8435 2.5828
19.4 9370.2395 3.0455
19.6 9270.8055 -2.7828
19.8 8842.5201 -2.3006
20.0 8161.1366 -1.7513
20.2 7407.0094 -1.0880
20.4 6914.3675 -0.2815
20.6 7041.8806 0.5997
20.8 7713.9823 1.3827
21.0 8483.0357 2.0036
21.2 9070.4887 2.5208
21.4 9357.8204 2.9870
21.6 9302.8904 -2.8422
21.8 8914.3155 -2.3656
22.0 8258.2515 -1.8274
22.2 7498.1265 -1.1814
22.4 6948.5618 -0.3926
22.6 6986.8177 0.4880
22.8 7613.0620 1.2915
23.0 8390.3991 1.9308
23.2 9010.0491 2.4579
23.4 9339.6518 2.9283
23.6 9329.3598 -2.9012
23.8 8981.5403 -2.4296
24.0 8353.4161 -1.9018
24.2 7592.5601 -1.2724
24.4 6993.0766 -0.5019
24.6 6942.3783 0.3749
24.8 7514.2318 1.1973
25.0 8294.9348 1.8561
25.2 8944.6842 2.3941
25.4 9315.7711 2.8694
25.6 9350.1528 -2.9600
25.8 9043.9914 -2.4927
26.0 8446.1660 -1.9745
26.2 7689.4624 -1.3609
26.4 7047.1256 -0.6093
26.6 6909.2481 0.2608
26.8 7418.5270 1.1002
27.0 8197.0526 1.7795
27.2 8874.5753 2.3293
27.4 9286.2289 2.8101
27.6 9365.2220 -3.0185
27.8 9101.4892 -2.5549
28.0 8536.0798 -2.0457
28.2 7788.0324 -1.4470
28.4 7109.8412 -0.7144
28.6 6887.8948 0.1462
28.8 7327.0727 1.0000
29.0 8097.2073 1.7007
29.2 8799.9264 2.2633
29.4 9251.0889 2.7504
29.6 9374.5331 -3.0769
29.8 9153.8754 -2.6164
30.0 8622.7757 -2.1153
30.2 7887.5199 -1.5309
30.4 7180.3033 -0.8172
30.6 6878.5556 0.0315
30.8 7241.0576 0.8970
31.0 7995.9079 1.6196
31.2 8720.9670 2.1961
31.4 9210.4292 2.6902
31.6 9378.0649 -3.1352
31.8 9201.0116 -2.6772
32.0 8705.9092 -2.1836
32.2 7987.2264 -1.6126
32.4 7257.5644 -0.9176
32.6 6881.2389 -0.0828
32.8 7161.6965 0.7913
33.0 7893.7298 1.5361
33.2 8637.9527 2.1276
33.4 9164.3426 2.6294
33.6 9375.8081 3.0897
33.8 9242.7780 -2.7374
34.0 8785.1704 -2.2506
34.2 8086.5056 -1.6922
34.4 7340.6712 -1.0155
34.6 6895.7372 -0.1962
34.8 7090.1837 0.6832
35.0 7791.3277 1.4499
35.2 8551.1673 2.0577
35.4 9112.9376 2.5679
35.6 9367.7661 3.0314
35.8 9279.0715 -2.7972
36.0 8860.2807 -2.3164
36.2 8184.7623 -1.7698
36.4 7428.6821 -1.1108
36.6 6921.6484 -0.3085
36.8 7027.6421 0.5729
37.0 7689.4493 1.3609
37.2 8460.9243 1.9862
37.4 9056.3402 2.5056
37.6 9353.9546 2.9728
37.8 9309.8055 -2.8565
38.0 8930.9913 -2.3812
38.2 8281.4507 -1.8456
38.4 7520.6809 -1.2036
38.6 6958.4038 -0.4192
38.8 6975.0733 0.4608
39.0 7588.9447 1.2690
39.2 8367.5688 1.9129
39.4 8994.6947 2.4425
39.6 9334.4014 2.9141
39.8 9334.9079 -2.9155
40.0 8997.0799 -2.4449
40.2 8376.0725 -1.9196
40.4 7615.7872 -1.2940
40.6 7005.2988 -0.5281
40.8 6933.3125 0.3474
41.0 7490.7714 1.1741
41.2 8271.4810 1.8378
41.4 8928.1657 2.3785
41.6 9309.1471 2.8551
41.8 9354.3212 -2.9741
42.0 9058.3494 -2.5078
42.2 8468.1740 -1.9919
